http://www.dermstore.com/blog/how-to-pamper-your-skin-when-traveling/,1,2,3,4,5,6,7,8,9,10
990 loading time,0.5059270858764648,0.027483224868774414,0.10704588890075684,0.01778888702392578,0.05156397819519043,0.04188799858093262,0.03636813163757324,0.03285098075866699,0.09642696380615234,0.04321098327636719

http://www.asiastarz.com/articles/27295/20170508/hyuna-triple-h-hui-e-dawn-mbc-s-section-tv-triple-hs-365-h.htm,1,2,3,4,5,6,7,8,9,10
Loading time without tag,7.221534013748169,9.516798973083496,120.01708912849426,120.01255297660828,28.50938606262207,28.618396997451782,60.66768407821655,120.02482390403748,26.832741022109985,26.977558851242065
Loading time with tag,12.71764588356018,10.383591175079346,9.981992959976196,9.25409984588623,9.982748031616211,10.451187133789062,10.956701040267944,10.617257118225098,10.448486089706421,10.259252071380615
Preload loading time,0.03177499771118164,0.03694605827331543,0.15070486068725586,0.19510602951049805,4.583810091018677,0.09866094589233398,0.036438941955566406,4.822576999664307,0.1173241138458252,0.03310203552246094
Layer loading time,0.08614206314086914,0.05674600601196289,0.28064393997192383,0.2689089775085449,4.6254191398620605,0.12794995307922363,0.06807708740234375,5.275283098220825,0.27486300468444824,0.05284905433654785
990 loading time,0.08614206314086914,0.05674600601196289,0.28064393997192383,0.2689089775085449,4.6254191398620605,0.12794995307922363,0.06807708740234375,5.275283098220825,0.27486300468444824,0.05284905433654785

http://finance.liga.net/economics/2017/5/15/news/53227.htm,1,2,3,4,5,6,7,8,9,10
Loading time without tag,4.39885401725769,5.8917930126190186,3.045448064804077,2.617204189300537,5.866816997528076,2.4159321784973145,2.591792106628418,2.8926191329956055,5.829938888549805,6.052844047546387
Loading time with tag,6.750524997711182,65.09820008277893,18.100609064102173,9.989914178848267,9.212924003601074,4.266371011734009,3.7312710285186768,3.848304033279419,34.571033000946045,5.55820894241333
Preload loading time,0.041224002838134766,0.014900922775268555,0.016366004943847656,0.016084909439086914,0.014651060104370117,0.010833024978637695,0.010368108749389648,0.016134023666381836,0.0483250617980957,0.010395050048828125
Layer loading time,0.06615090370178223,0.022658824920654297,0.02855396270751953,0.03554797172546387,0.03517913818359375,0.034204959869384766,0.04237103462219238,0.03183913230895996,0.07914900779724121,0.021691083908081055
